Train signal size,Train background size,Validation signal size,Validation background size,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Model Name,TPR/FPR^0.5: FPR=0.1,TPR/FPR^0.5: FPR=0.01,TPR/FPR^0.5: FPR=0.001,Training epochs,time
30274,32374,3784,4046,0.692144513130188,0.5240102171136654,0.5127020696974225,0.6850830316543579,0.6065,0.59678887,"Sensitivity: 0.0, Resolution: 25x25, Copy: +1",SB_0.0_copy_1_25x25,0.7757067100393034,0.063,0.0063245553203367,19,2024-03-23 23:51:07.764962
31814,32748,3976,4092,0.6908625364303589,0.5244174516608825,0.5254450702258516,0.5812961459159851,0.87785,0.952072685,"Sensitivity: 7.0, Resolution: 25x25, Copy: +1",SB_7.0_copy_1_25x25,2.692363199867358,5.451,7.077177403456833,21,2024-03-23 23:52:04.112882
30494,32426,3811,4052,0.6920883655548096,0.5235915045148162,0.5165968232966192,0.6773701906204224,0.66465,0.70531772,"Sensitivity: 1.0, Resolution: 25x25, Copy: +1",SB_1.0_copy_1_25x25,0.92306884900315,0.206,0.0537587202228624,22,2024-03-23 23:52:35.955341
32034,32802,4004,4099,0.6896682977676392,0.5288164877205973,0.5313601987180909,0.5622290372848511,0.8992,0.96185479,"Sensitivity: 8.0, Resolution: 25x25, Copy: +1",SB_8.0_copy_1_25x25,2.8403577943632383,5.698,8.585583847357151,22,2024-03-23 23:53:33.707377
30714,32480,3839,4059,0.6920251250267029,0.5231704228918713,0.5188909341318187,0.660369873046875,0.75275,0.8034819950000001,"Sensitivity: 2.0, Resolution: 25x25, Copy: +1",SB_2.0_copy_1_25x25,1.4986033831537948,0.2539999999999999,0.0853814968245462,17,2024-03-23 23:53:52.851193
30934,32534,3866,4066,0.6920792460441589,0.5220625315179022,0.5207488875356922,0.6540315747261047,0.77095,0.825265765,"Sensitivity: 3.0, Resolution: 25x25, Copy: +1",SB_3.0_copy_1_25x25,1.6870751316998305,0.5379999999999999,0.2308462691922917,15,2024-03-23 23:55:05.312390
32254,32856,4031,4106,0.6891096234321594,0.5289418704682315,0.5351003239264912,0.5504968166351318,0.9052,0.96558821,"Sensitivity: 9.0, Resolution: 25x25, Copy: +1",SB_9.0_copy_1_25x25,2.8751428486250905,6.159999999999999,9.44888564858312,22,2024-03-23 23:55:07.546524
31154,32588,3894,4072,0.6919616460800171,0.5227215666582977,0.5198561234199408,0.6513487696647644,0.7793,0.8420095799999999,"Sensitivity: 4.0, Resolution: 25x25, Copy: +1",SB_4.0_copy_1_25x25,1.7550641013934507,0.6629999999999999,0.392122429860879,14,2024-03-23 23:56:14.153996
32474,32910,4059,4113,0.6879285573959351,0.5325501713166911,0.5352679092071738,0.5154045820236206,0.92035,0.975286315,"Sensitivity: 10.0, Resolution: 25x25, Copy: +1",SB_10.0_copy_1_25x25,2.964002850875822,6.698,8.810105561229106,23,2024-03-23 23:56:37.078141
31374,32642,3921,4079,0.6917465329170227,0.52625,0.5230852859543526,0.6268808245658875,0.8371,0.908460445,"Sensitivity: 5.0, Resolution: 25x25, Copy: +1",SB_5.0_copy_1_25x25,2.3362907353323985,2.695,2.551958071755882,19,2024-03-23 23:57:33.560511
15797,16347,3949,4086,0.6907575130462646,0.5271935283136279,0.5256156970537347,0.5550556182861328,0.89485,0.957200065,"Sensitivity: 6.0, Resolution: 25x25",SB_6.0_25x25,2.8106323843576555,5.528,6.922225798108583,37,2024-03-23 23:58:12.893266
15137,16187,3784,4046,0.692171573638916,0.5247765006385696,0.5148207740999646,0.6945078372955322,0.5357,0.5050432149999999,"Sensitivity: 0.0, Resolution: 25x25",SB_0.0_25x25,0.4850933930698294,0.0479999999999999,0.0063245553203367,30,2024-03-23 23:58:53.939838
15907,16374,3976,4092,0.6904807090759277,0.5268963807635102,0.5278895698236339,0.5482987761497498,0.90745,0.965780555,"Sensitivity: 7.0, Resolution: 25x25",SB_7.0_25x25,2.8919029202239828,6.015,8.307303413262332,35,2024-03-23 23:59:43.506815
15247,16213,3811,4052,0.6921368837356567,0.5224469032176015,0.5146965400981157,0.6798447966575623,0.6515,0.6718905199999999,"Sensitivity: 1.0, Resolution: 25x25",SB_1.0_25x25,0.8980868554878196,0.0659999999999999,0.0063245553203367,23,2024-03-24 00:00:05.950858
15357,16240,3839,4059,0.6919361352920532,0.5231704228918713,0.5200609003650954,0.6615635752677917,0.74775,0.810258555,"Sensitivity: 2.0, Resolution: 25x25",SB_2.0_25x25,1.4628696455938923,0.4629999999999999,0.1676007159889241,20,2024-03-24 00:01:12.669695
16017,16401,4004,4099,0.6892373561859131,0.5275823768974454,0.5304193854450014,0.5432033538818359,0.90635,0.96561752,"Sensitivity: 8.0, Resolution: 25x25",SB_8.0_25x25,2.885262137137629,6.229,9.278122654934023,35,2024-03-24 00:01:15.340648
15467,16267,3866,4066,0.6920968294143677,0.5219364599092284,0.5183066762617535,0.6557508707046509,0.78775,0.85912243,"Sensitivity: 3.0, Resolution: 25x25",SB_3.0_25x25,1.877760474607984,1.145,0.68305197459637,25,2024-03-24 00:02:28.489489
